genome,kingdom,phylum,class,genus,species
Acaryochloris_marina_MBIC11017_uid58167,Bacteria,Cyanobacteria,-,Acaryochloris,Acaryochloris_marina
Acetobacter_pasteurianus_IFO_3283_01_uid59279,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacter,Acetobacter_pasteurianus
Acetohalobium_arabaticum_DSM_5501_uid51423,Bacteria,Firmicutes,Clostridia,Acetohalobium,Acetohalobium_arabaticum
Acholeplasma_laidlawii_PG_8A_uid58901,Bacteria,Tenericutes,Mollicutes,Acholeplasma,Acholeplasma_laidlawii
Achromobacter_xylosoxidans_A8_uid59899,Bacteria,Proteobacteria,Betaproteobacteria,Achromobacter,Achromobacter_xylosoxidans
Acidaminococcus_fermentans_DSM_20731_uid43471,Bacteria,Firmicutes,Negativicutes,Acidaminococcus,Acidaminococcus_fermentans
Acidaminococcus_intestini_RyC_MR95_uid74445,Bacteria,Firmicutes,Negativicutes,Acidaminococcus,Acidaminococcus_intestini
Acidianus_hospitalis_W1_uid66875,Archaea,Crenarchaeota,Thermoprotei,Acidianus,Acidianus_hospitalis
Acidilobus_saccharovorans_345_15_uid51395,Archaea,Crenarchaeota,Thermoprotei,Acidilobus,Acidilobus_saccharovorans
Acidimicrobium_ferrooxidans_DSM_10331_uid59215,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobium,Acidimicrobium_ferrooxidans
Acidiphilium_cryptum_JF_5_uid58447,Bacteria,Proteobacteria,Alphaproteobacteria,Acidiphilium,Acidiphilium_cryptum
Acidiphilium_multivorum_AIU301_uid63345,Bacteria,Proteobacteria,Alphaproteobacteria,Acidiphilium,Acidiphilium_multivorum
Acidithiobacillus_caldus_SM_1_uid70791,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillus,Acidithiobacillus_caldus
Acidithiobacillus_ferrivorans_SS3_uid67387,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillus,Acidithiobacillus_ferrivorans
Acidithiobacillus_ferrooxidans_ATCC_23270_uid57649,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillus,Acidithiobacillus_ferrooxidans
Acidithiobacillus_ferrooxidans_ATCC_53993_uid58613,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillus,Acidithiobacillus_ferrooxidans
Acidobacterium_capsulatum_ATCC_51196_uid59127,Bacteria,Acidobacteria,Acidobacteriia,Acidobacterium,Acidobacterium_capsulatum
Acidobacterium_MP5ACTX9_uid50551,Bacteria,Acidobacteria,Acidobacteriia,Acidobacterium,Acidobacterium_MP5ACTX9
Acidothermus_cellulolyticus_11B_uid58501,Bacteria,Actinobacteria,Actinobacteria,Acidothermus,Acidothermus_cellulolyticus
Acidovorax_avenae_ATCC_19860_uid42497,Bacteria,Proteobacteria,Betaproteobacteria,Acidovorax,Acidovorax_avenae
Acidovorax_citrulli_AAC00_1_uid58429,Bacteria,Proteobacteria,Betaproteobacteria,Acidovorax,Acidovorax_citrulli
Acidovorax_ebreus_TPSY_uid59233,Bacteria,Proteobacteria,Betaproteobacteria,Acidovorax,Acidovorax_ebreus
Acidovorax_JS42_uid58427,Bacteria,Proteobacteria,Betaproteobacteria,Acidovorax,Acidovorax_JS42
Aciduliprofundum_boonei_T469_uid43333,Archaea,Euryarchaeota,-,Aciduliprofundum,Aciduliprofundum_boonei
Acinetobacter_ADP1_uid61597,Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_ADP1
Acinetobacter_baumannii_AB0057_uid59083,Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_baumannii
Acinetobacter_baumannii_AB307_0294_uid59271,Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_baumannii
Acinetobacter_baumannii_ACICU_uid58765,Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_baumannii
Acinetobacter_baumannii_ATCC_17978_uid58731,Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_baumannii
Acinetobacter_baumannii_AYE_uid61637,Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_baumannii
Acinetobacter_baumannii_SDF_uid61601,Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_baumannii
Acinetobacter_oleivorans_DR1_uid50119,Bacteria,Proteobacteria,Gammaproteobacteria,Acinetobacter,Acinetobacter_oleivorans
Actinobacillus_pleuropneumoniae_serovar_3_JL03_uid58891,Bacteria,Proteobacteria,Gammaproteobacteria,Actinobacillus,Actinobacillus_pleuropneumoniae
Actinobacillus_pleuropneumoniae_serovar_5b_L20_uid58789,Bacteria,Proteobacteria,Gammaproteobacteria,Actinobacillus,Actinobacillus_pleuropneumoniae
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231,Bacteria,Proteobacteria,Gammaproteobacteria,Actinobacillus,Actinobacillus_pleuropneumoniae
Actinobacillus_succinogenes_130Z_uid58247,Bacteria,Proteobacteria,Gammaproteobacteria,Actinobacillus,Actinobacillus_succinogenes
Actinosynnema_mirum_DSM_43827_uid58951,Bacteria,Actinobacteria,Actinobacteria,Actinosynnema,Actinosynnema_mirum
Aerococcus_urinae_ACS_120_V_Col10a_uid64757,Bacteria,Firmicutes,Bacilli,Aerococcus,Aerococcus_urinae
Aeromonas_hydrophila_ATCC_7966_uid58617,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonas,Aeromonas_hydrophila
Aeromonas_salmonicida_A449_uid58631,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonas,Aeromonas_salmonicida
Aeromonas_veronii_B565_uid66323,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonas,Aeromonas_veronii
Aeropyrum_pernix_K1_uid57757,Archaea,Crenarchaeota,Thermoprotei,Aeropyrum,Aeropyrum_pernix
Aggregatibacter_actinomycetemcomitans_D11S_1_uid41333,Bacteria,Proteobacteria,Gammaproteobacteria,Aggregatibacter,Aggregatibacter_actinomycetemcomitans
Aggregatibacter_aphrophilus_NJ8700_uid59407,Bacteria,Proteobacteria,Gammaproteobacteria,Aggregatibacter,Aggregatibacter_aphrophilus
Agrobacterium_H13_3_uid63403,Bacteria,Proteobacteria,Alphaproteobacteria,Agrobacterium,Agrobacterium_H13
Agrobacterium_radiobacter_K84_uid58269,Bacteria,Proteobacteria,Alphaproteobacteria,Agrobacterium,Agrobacterium_radiobacter
Agrobacterium_tumefaciens_C58_uid57865,Bacteria,Proteobacteria,Alphaproteobacteria,Agrobacterium,Agrobacterium_tumefaciens
Agrobacterium_vitis_S4_uid58249,Bacteria,Proteobacteria,Alphaproteobacteria,Agrobacterium,Agrobacterium_vitis
Akkermansia_muciniphila_ATCC_BAA_835_uid58985,Bacteria,Verrucomicrobia,Verrucomicrobiae,Akkermansia,Akkermansia_muciniphila
Alcanivorax_borkumensis_SK2_uid58169,Bacteria,Proteobacteria,Gammaproteobacteria,Alcanivorax,Alcanivorax_borkumensis
Alicycliphilus_denitrificans_BC_uid49953,Bacteria,Proteobacteria,Betaproteobacteria,Alicycliphilus,Alicycliphilus_denitrificans
Alicycliphilus_denitrificans_K601_uid66307,Bacteria,Proteobacteria,Betaproteobacteria,Alicycliphilus,Alicycliphilus_denitrificans
Alicyclobacillus_acidocaldarius_DSM_446_uid59199,Bacteria,Firmicutes,Bacilli,Alicyclobacillus,Alicyclobacillus_acidocaldarius
Aliivibrio_salmonicida_LFI1238_uid59251,Bacteria,Proteobacteria,Gammaproteobacteria,Aliivibrio,Aliivibrio_salmonicida
Alkalilimnicola_ehrlichii_MLHE_1_uid58467,Bacteria,Proteobacteria,Gammaproteobacteria,Alkalilimnicola,Alkalilimnicola_ehrlichii
Alkaliphilus_metalliredigens_QYMF_uid58171,Bacteria,Firmicutes,Clostridia,Alkaliphilus,Alkaliphilus_metalliredigens
Alkaliphilus_oremlandii_OhILAs_uid58495,Bacteria,Firmicutes,Clostridia,Alkaliphilus,Alkaliphilus_oremlandii
Allochromatium_vinosum_DSM_180_uid46083,Bacteria,Proteobacteria,Gammaproteobacteria,Allochromatium,Allochromatium_vinosum
Alteromonas_macleodii__Deep_ecotype__uid58251,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonas,Alteromonas_macleodii
Alteromonas_SN2_uid67349,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonas,Alteromonas_SN2
Aminobacterium_colombiense_DSM_12261_uid47083,Bacteria,Synergistetes,Synergistia,Aminobacterium,Aminobacterium_colombiense
Ammonifex_degensii_KC4_uid41053,Bacteria,Firmicutes,Clostridia,Ammonifex,Ammonifex_degensii
Amycolatopsis_mediterranei_U32_uid50565,Bacteria,Actinobacteria,Actinobacteria,Amycolatopsis,Amycolatopsis_mediterranei
Amycolicicoccus_subflavus_DQS3_9A1_uid67253,Bacteria,Actinobacteria,Actinobacteria,Amycolicicoccus,Amycolicicoccus_subflavus
Anabaena_variabilis_ATCC_29413_uid58043,Bacteria,Cyanobacteria,-,Anabaena,Anabaena_variabilis
Anaerococcus_prevotii_DSM_20548_uid59219,Bacteria,Firmicutes,Clostridia,Anaerococcus,Anaerococcus_prevotii
Anaerolinea_thermophila_UNI_1_uid62245,Bacteria,Chloroflexi,Anaerolineae,Anaerolinea,Anaerolinea_thermophila
Anaeromyxobacter_dehalogenans_2CP_1_uid58989,Bacteria,Proteobacteria,Deltaproteobacteria,Anaeromyxobacter,Anaeromyxobacter_dehalogenans
Anaeromyxobacter_dehalogenans_2CP_C_uid58135,Bacteria,Proteobacteria,Deltaproteobacteria,Anaeromyxobacter,Anaeromyxobacter_dehalogenans
Anaeromyxobacter_Fw109_5_uid58755,Bacteria,Proteobacteria,Deltaproteobacteria,Anaeromyxobacter,Anaeromyxobacter_Fw109
Anaeromyxobacter_K_uid58953,Bacteria,Proteobacteria,Deltaproteobacteria,Anaeromyxobacter,Anaeromyxobacter_K
Anaplasma_centrale_Israel_uid42155,Bacteria,Proteobacteria,Alphaproteobacteria,Anaplasma,Anaplasma_centrale
Anaplasma_marginale_Florida_uid58577,Bacteria,Proteobacteria,Alphaproteobacteria,Anaplasma,Anaplasma_marginale
Anaplasma_marginale_Maries_uid57629,Bacteria,Proteobacteria,Alphaproteobacteria,Anaplasma,Anaplasma_marginale
Anaplasma_phagocytophilum_HZ_uid57951,Bacteria,Proteobacteria,Alphaproteobacteria,Anaplasma,Anaplasma_phagocytophilum
Anoxybacillus_flavithermus_WK1_uid59135,Bacteria,Firmicutes,Bacilli,Anoxybacillus,Anoxybacillus_flavithermus
Aquifex_aeolicus_VF5_uid57765,Bacteria,Aquificae,Aquificae,Aquifex,Aquifex_aeolicus
Arcanobacterium_haemolyticum_DSM_20595_uid49489,Bacteria,Actinobacteria,Actinobacteria,Arcanobacterium,Arcanobacterium_haemolyticum
Archaeoglobus_fulgidus_DSM_4304_uid57717,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobus,Archaeoglobus_fulgidus
Archaeoglobus_profundus_DSM_5631_uid43493,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobus,Archaeoglobus_profundus
Archaeoglobus_veneficus_SNP6_uid65269,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobus,Archaeoglobus_veneficus
Arcobacter_butzleri_RM4018_uid58557,Bacteria,Proteobacteria,Epsilonproteobacteria,Arcobacter,Arcobacter_butzleri
Arcobacter_nitrofigilis_DSM_7299_uid49001,Bacteria,Proteobacteria,Epsilonproteobacteria,Arcobacter,Arcobacter_nitrofigilis
Aromatoleum_aromaticum_EbN1_uid58231,Bacteria,Proteobacteria,Betaproteobacteria,Aromatoleum,Aromatoleum_aromaticum
Arthrobacter_arilaitensis_Re117_uid53509,Bacteria,Actinobacteria,Actinobacteria,Arthrobacter,Arthrobacter_arilaitensis
Arthrobacter_aurescens_TC1_uid58109,Bacteria,Actinobacteria,Actinobacteria,Arthrobacter,Arthrobacter_aurescens
Arthrobacter_chlorophenolicus_A6_uid58969,Bacteria,Actinobacteria,Actinobacteria,Arthrobacter,Arthrobacter_chlorophenolicus
Arthrobacter_FB24_uid58141,Bacteria,Actinobacteria,Actinobacteria,Arthrobacter,Arthrobacter_FB24
Arthrobacter_phenanthrenivorans_Sphe3_uid63629,Bacteria,Actinobacteria,Actinobacteria,Arthrobacter,Arthrobacter_phenanthrenivorans
Aster_yellows_witches_broom_phytoplasma_AYWB_uid58297,Bacteria,Tenericutes,Mollicutes,Aster,Aster_yellows
Asticcacaulis_excentricus_CB_48_uid55641,Bacteria,Proteobacteria,Alphaproteobacteria,Asticcacaulis,Asticcacaulis_excentricus
Atopobium_parvulum_DSM_20469_uid59195,Bacteria,Actinobacteria,Actinobacteria,Atopobium,Atopobium_parvulum
Azoarcus_BH72_uid61603,Bacteria,Proteobacteria,Betaproteobacteria,Azoarcus,Azoarcus_BH72
Azorhizobium_caulinodans_ORS_571_uid58905,Bacteria,Proteobacteria,Alphaproteobacteria,Azorhizobium,Azorhizobium_caulinodans
Azospirillum_B510_uid46085,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillum,Azospirillum_B510
Azotobacter_vinelandii_DJ_uid57597,Bacteria,Proteobacteria,Gammaproteobacteria,Azotobacter,Azotobacter_vinelandii
Bacillus_amyloliquefaciens_DSM_7_uid53535,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_amyloliquefaciens
Bacillus_amyloliquefaciens_FZB42_uid58271,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_amyloliquefaciens
Bacillus_anthracis_A0248_uid59385,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_anthracis
Bacillus_anthracis__Ames_Ancestor__uid58083,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_anthracis
Bacillus_anthracis_Ames_uid57909,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_anthracis
Bacillus_anthracis_CDC_684_uid59303,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_anthracis
Bacillus_anthracis_Sterne_uid58091,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_anthracis
Bacillus_atrophaeus_1942_uid59887,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_atrophaeus
Bacillus_cellulosilyticus_DSM_2522_uid43329,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cellulosilyticus
Bacillus_cereus_03BB102_uid59299,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_cereus_AH187_uid58753,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_cereus_AH820_uid58751,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_cereus_ATCC_10987_uid57673,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_cereus_ATCC_14579_uid57975,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_cereus_B4264_uid58757,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_cereus_biovar_anthracis_CI_uid50615,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_cereus_E33L_uid58103,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_cereus_G9842_uid58759,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_cereus_Q1_uid58529,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cereus
Bacillus_clausii_KSM_K16_uid58237,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_clausii
Bacillus_coagulans_2_6_uid68053,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_coagulans
Bacillus_coagulans_36D1_uid54335,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_coagulans
Bacillus_cytotoxicus_NVH_391_98_uid58317,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_cytotoxicus
Bacillus_halodurans_C_125_uid57791,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_halodurans
Bacillus_licheniformis_ATCC_14580_uid58097,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_licheniformis
Bacillus_megaterium_DSM319_uid48371,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_megaterium
Bacillus_megaterium_QM_B1551_uid15862,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_megaterium
Bacillus_pseudofirmus_OF4_uid45847,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_pseudofirmus
Bacillus_pumilus_SAFR_032_uid59017,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_pumilus
Bacillus_selenitireducens_MLS10_uid49513,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_selenitireducens
Bacillus_subtilis_168_uid57675,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_subtilis
Bacillus_subtilis_BSn5_uid62463,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_subtilis
Bacillus_subtilis_spizizenii_TU_B_10_uid73967,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_subtilis
Bacillus_subtilis_spizizenii_W23_uid51879,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_subtilis
Bacillus_thuringiensis_Al_Hakam_uid58795,Bacteria,Firmicutes,Bacilli,Bacillus,Bacillus_thuringiensis
